hosts,vms,cloudlets,par_time,par_fitness,par_cpu_util,par_ram_util,par_bw_util,par_power,par_cpu_mean,par_cpu_std
100,50,100,5.86,1.014534,65571.29,1.67,1.68,36.25,8.35,13.49
100,50,100,8.51,1.017159,54595.31,1.54,1.57,35.79,5.26,12.85
100,50,100,7.0,1.02467,55987.9,1.61,1.62,35.92,6.13,13.95
100,50,100,8.12,1.027285,50989.03,1.44,1.47,35.7,4.69,11.65
100,50,100,6.81,1.02763,53972.5,1.49,1.52,35.82,5.44,12.43
100,50,100,6.22,1.036981,59565.16,1.59,1.62,35.9,6.01,12.84
100,50,100,6.14,1.044161,57874.98,1.64,1.67,36.05,6.97,12.4
100,50,100,6.23,1.055009,53509.62,1.57,1.58,35.78,5.23,12.61
100,50,100,7.62,1.055736,49425.55,1.51,1.53,35.7,4.69,12.0
100,50,100,6.26,1.05941,59068.14,1.63,1.66,35.88,5.87,12.83
100,50,80,6.66,1.221189,43337.11,1.47,1.49,35.69,4.63,11.13
100,50,80,6.43,1.2228,44754.06,1.53,1.54,35.96,6.4,11.46
100,50,80,8.33,1.224031,40963.74,1.37,1.38,35.67,4.48,10.0
100,50,80,7.32,1.237003,40542.19,1.42,1.43,35.69,4.6,9.91
100,50,80,7.14,1.240328,46916.9,1.5,1.52,35.69,4.61,11.07
100,50,80,7.7,1.246303,50249.98,1.54,1.55,35.68,4.5,11.34
100,50,80,6.39,1.248609,46746.13,1.46,1.5,35.74,4.97,10.94
100,50,80,7.72,1.260062,45911.81,1.58,1.6,35.76,5.09,11.47
100,50,80,7.53,1.26716,32329.45,1.42,1.44,35.59,3.92,9.6
100,50,80,6.23,1.301267,48822.69,1.64,1.66,35.73,4.84,11.16
100,50,60,6.88,1.550754,37447.38,1.52,1.55,35.76,5.06,9.39
100,50,60,7.7,1.560837,31448.11,1.39,1.4,35.6,3.98,8.55
100,50,60,6.95,1.56207,35575.08,1.48,1.51,35.66,4.38,9.41
100,50,60,9.29,1.563816,27901.51,1.23,1.25,35.48,3.17,7.66
100,50,60,8.9,1.585155,26145.71,1.31,1.34,35.47,3.13,7.72
100,50,60,7.58,1.586862,33568.55,1.4,1.42,35.53,3.53,8.55
100,50,60,6.19,1.604883,40474.83,1.66,1.69,35.67,4.44,10.25
100,50,60,7.64,1.612422,30452.83,1.4,1.41,35.5,3.36,8.39
100,50,60,6.97,1.629006,32319.0,1.45,1.47,35.5,3.33,8.25
100,50,60,6.4,1.639511,33063.27,1.42,1.44,35.52,3.46,8.24
